commit_time,commit_id,gpu_index,folder,kernel,arch,compile_status,run_status,verify_passed,timing_avg_ms,tflops,status,compile_log,run_log,notes
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dynamic_sm90_swizzle64_128.co","sm_90a","ok","ok","1","0.860433","638.929","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle64_128.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle64_128.run.log",""
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dynamic_sm90_swizzle64_128_prepack.co","sm_90a","ok","ok","1","0.702144","782.968","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle64_128_prepack.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle64_128_prepack.run.log",""
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dynamic_sm90_swizzle64_128_prepack_v2.co","sm_90a","ok","fail(134)","0","","","run_failed","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle64_128_prepack_v2.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dynamic_sm90_swizzle64_128_prepack_v2.run.log","runtime failed"
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle128_128_prepack.co","sm_90a","ok","ok","1","0.669388","821.282","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle128_128_prepack.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle128_128_prepack.run.log",""
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle128_128_prepack_regctrl.co","sm_90a","ok","ok","1","0.672919","816.972","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle128_128_prepack_regctrl.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle128_128_prepack_regctrl.run.log",""
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle128_128_prepack_v2.co","sm_90a","ok","fail(134)","0","","","run_failed","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle128_128_prepack_v2.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle128_128_prepack_v2.run.log","runtime failed"
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle128_128_prepack_v2_regctrl.co","sm_90a","ok","fail(134)","0","","","run_failed","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle128_128_prepack_v2_regctrl.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle128_128_prepack_v2_regctrl.run.log","runtime failed"
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle32_64.co","sm_90a","ok","ok","1","0.753672","729.437","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle32_64.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle32_64.run.log",""
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle32_64_prepack.co","sm_90a","ok","ok","1","0.880241","624.551","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle32_64_prepack.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle32_64_prepack.run.log",""
"20260403_175403","710a32d048cf","1","gemm_sp","gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle32_64_prepack_regctrl.co","sm_90a","ok","ok","1","0.8823","623.094","ok","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle32_64_prepack_regctrl.compile.log","/home/fem/dev/choreo/build/kernel-batch/20260403_175403_710a32d048cf/logs/benchmark__performance__gemm_sp__gemm_sp_e4m3_dyn_sm90_warpspec_1p1c_swizzle32_64_prepack_regctrl.run.log",""
